year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2016,solar,20,366,19.138039617486335,51.79264480757373,24.336919398907103,55.14901124723026,-138.06749999999988,301.9949999999999,-0.125,16.800624999999997,74.33125000000001,114.65874999999988,236.88100000000065
2016,solar,21,366,2.312506830601093,6.612052630071083,2.746290983606557,6.996247304737285,-10.435000000000002,41.89,-0.14,0.7787500000000018,8.657499999999999,15.965,33.25325000000004
2016,solar,22,366,-0.14616120218579232,0.11376654164320413,0.1655191256830601,0.18512309447848374,-0.3525,0.5325,-0.1475,-0.09,-0.055,-0.016249999999999973,0.2637500000000006
2016,solar,23,365,-0.17394520547945205,0.07171766997828537,0.17394520547945205,0.1881123789740794,-0.3325,-0.045,-0.1675,-0.1125,-0.08099999999999995,-0.0725,-0.059099999999999965
2016,wind_onshore,0,366,-246.2890573770492,991.0159284911541,753.2617486338797,1019.846803509152,-4688.165000000001,3003.837499999998,-207.1937499999999,304.24124999999987,927.4124999999999,1360.0600000000009,1876.8100000000027
2016,wind_onshore,1,366,-194.64857240437155,998.6747232436676,735.1018101092897,1016.1270916073499,-5874.342499999999,3504.1525,-174.37750000000005,370.0612500000001,877.6612500000001,1338.163125,2074.2332500000034
2016,wind_onshore,2,366,-145.4246516393442,1001.8697948053189,731.1224521857923,1011.0138216662965,-5691.289999999997,3782.6650000000022,-77.13000000000011,394.2268750000002,1035.59625,1299.0131249999988,2086.507500000001
2016,wind_onshore,3,366,-170.05461065573772,1009.849394211424,747.3003346994535,1022.7062345927163,-5201.9925,3944.557500000001,-80.45124999999996,425.3837499999995,929.0500000000002,1233.646875,2162.9780000000014
2016,wind_onshore,4,366,-190.7019057377049,1042.5158014797198,767.1404986338797,1058.4124466322096,-4841.252499999999,4189.6675,-71.16625000000022,387.0506249999997,883.5287500000013,1316.6574999999987,2337.3098750000063
2016,wind_onshore,5,366,-226.43862021857927,1081.061862231013,784.7543169398907,1103.0757198136107,-5473.2525000000005,4285.655000000001,-98.69125000000014,368.7618749999999,902.9162500000002,1379.6812500000003,2091.5562500000015
2016,wind_onshore,6,366,-340.9935587431693,1164.0698021642906,835.71831284153,1211.4589410190297,-6395.017500000002,3764.855,-191.80624999999964,315.79750000000104,766.0650000000005,1197.6337500000004,2274.7057500000074
2016,wind_onshore,7,366,-241.91344945355195,1180.333296048242,826.9059631147542,1203.2881142005638,-6394.200000000001,3684.565000000001,-148.04499999999967,397.26000000000033,867.5387499999997,1239.559375,2762.2048750000085
2016,wind_onshore,8,366,-44.032438524590155,1188.311953722553,819.8370969945355,1187.504104602045,-6826.529999999999,4269.335000000001,93.77874999999972,550.5968749999997,1124.5862500000003,1741.6999999999998,2793.0071250000055
2016,wind_onshore,9,366,108.64984289617486,1138.2216819118794,810.9949658469944,1141.8465900768663,-6755.23,3974.717499999999,163.4725,719.3362499999998,1255.1750000000006,1837.9774999999997,3316.945625000007
2016,wind_onshore,10,366,75.57984289617481,1122.0342017449393,792.0397745901639,1123.0464278327863,-6004.34,3871.0075,152.59749999999946,667.6856250000001,1161.0875000000003,1580.9687499999995,3156.3579999999993
